time	input_value	encoder
155	14.86	182982
155.2	15.86	182982
155.4	16.86	182982
155.6	17.86	182982
155.8	18.86	182982
156	19.86	182982
156.2	20.86	182982
156.4	21.86	182982
156.6	22.86	182982
156.8	23.86	182982
157	24.86	182982
157.2	25.86	182982
157.4	26.86	182982
157.6	27.86	182982
157.8	28.86	182982
158	29.86	182982
158.2	30.86	182982
158.4	31.86	182982
158.6	32.86	182982
158.8	33.86	182982
159	34.86	182982
159.2	35.86	182982
159.4	36.86	182982
159.6	37.86	182982
159.8	38.86	182982
160	39.86	182983
160.2	40.86	182983
160.4	41.86	182983
160.6	42.86	182983
160.8	43.86	183005
161	44.86	183074
161.2	45.86	183177
161.4	46.86	183306
161.6	47.86	183453
161.8	48.86	183616
162	49.86	183792
162.2	50.86	183979
162.4	51.86	184176
162.6	52.86	184381
162.8	53.86	184595
163	54.86	184815
163.2	55.86	185040
163.4	56.86	185273
163.6	57.86	185513
163.8	58.86	185757
164	59.86	186007
164.2	60.86	186265
164.4	61.86	186525
164.6	62.86	186794
164.8	63.86	187067
165	64.86	187345
165.2	65.86	187627
165.4	66.86	187914
165.6	67.86	188207
165.8	68.86	188503
166	69.86	188805
166.2	70.86	189108
166.4	71.86	189417
166.6	72.86	189730
166.8	73.86	190046
167	74.86	190367
167.2	75.86	190692
167.4	76.86	191019
167.6	77.86	191351
167.8	78.86	191687
168	79.86	192026
168.2	80.86	192368
168.4	81.86	192714
168.6	82.86	193063
168.8	83.86	193415
169	84.86	193770
169.2	85.86	194130
169.4	86.86	194492
169.6	87.86	194856
169.8	88.86	195224
170	89.86	195594
170.2	90.86	195968
170.4	91.86	196345
170.6	92.86	196724
170.8	93.86	197104
171	94.86	197488
171.2	95.86	197875
171.4	96.86	198263
171.6	97.86	198654
171.8	98.86	199048
172	99.86	199444
172.2	100.86	199843
172.4	101.86	200242
172.6	102.86	200645
172.8	103.86	201049
173	104.86	201455
173.2	105.86	201863
173.4	106.86	202274
173.6	107.86	202685
173.8	108.86	203100
174	109.87	203515
174.2	110.87	203933
174.4	111.87	204351
174.6	112.87	204772
174.8	113.87	205194
175	114.87	205618
175.2	115.87	206045
175.4	116.87	206472
175.6	117.87	206902
175.8	118.87	207332
176	119.87	207765
176.2	120.87	208200
176.4	121.87	208634
176.6	122.87	209068
176.8	123.87	209506
177	124.87	209943
177.2	125.87	210382
177.4	126.87	210823
177.6	127.87	211265
177.8	128.87	211709
